"filename", "language", "JSON", "JavaScript", "PostCSS", "HTML", "Shell Script", "Markdown", "comment", "blank", "total"
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\activity\index.js", "JavaScript", 0, 353, 0, 0, 0, 0, 26, 50, 429
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\changelog\index.js", "JavaScript", 0, 552, 0, 0, 0, 0, 17, 50, 619
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\changelog\operations.js", "JavaScript", 0, 272, 0, 0, 0, 0, 7, 53, 332
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\index.js", "JavaScript", 0, 340, 0, 0, 0, 0, 32, 87, 459
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\map-integration.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\movements.js", "JavaScript", 0, 429, 0, 0, 0, 0, 31, 70, 530
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\operations.js", "JavaScript", 0, 202, 0, 0, 0, 0, 15, 52, 269
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\ui-fix.js", "JavaScript", 0, 29, 0, 0, 0, 0, 6, 4, 39
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\ui.js", "JavaScript", 0, 352, 0, 0, 0, 0, 39, 71, 462
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\dynamics\index.js", "JavaScript", 0, 321, 0, 0, 0, 0, 17, 70, 408
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\journeys\index.js", "JavaScript", 0, 416, 0, 0, 0, 0, 7, 30, 453
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\journeys\map.js", "JavaScript", 0, 445, 0, 0, 0, 0, 23, 55, 523
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\journeys\operations.js", "JavaScript", 0, 312, 0, 0, 0, 0, 16, 84, 412
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\journeys\segments.js", "JavaScript", 0, 363, 0, 0, 0, 0, 2, 7, 372
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\locations\index.js", "JavaScript", 0, 224, 0, 0, 0, 0, 33, 64, 321
