Date : 2025-08-29 17:07:22
Directory : c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map
Total : 104 files,  20039 codes, 1539 comments, 3295 blanks, all 24873 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\neudalen.html                  | HTML       |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\nordmund.html                  | HTML       |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\olecea.html                    | HTML       |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\rena.html                      | HTML       |         22 |          0 |          3 |         25 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\valaris.html                   | HTML       |         33 |          0 |          4 |         37 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\wesdalen.html                  | HTML       |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\yosefka_akademie.html          | HTML       |         13 |          0 |          2 |         15 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\README.md                                    | Markdown   |        121 |          0 |         30 |        151 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\animations\effects.css                       | PostCSS    |         80 |          4 |          9 |         93 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\base\reset.css                               | PostCSS    |         17 |          1 |          4 |         22 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\base\typography.css                          | PostCSS    |         35 |          3 |          9 |         47 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\base\variables.css                           | PostCSS    |         22 |          1 |          3 |         26 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\characters\character-panel.css    | PostCSS    |        377 |         19 |         66 |        462 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\characters\character-paths.css    | PostCSS    |        187 |          6 |         38 |        231 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\characters\character-system.css   | PostCSS    |        412 |         23 |         65 |        500 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\features\gallery.css              | PostCSS    |        165 |          0 |         26 |        191 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\features\search.css               | PostCSS    |        108 |          4 |         18 |        130 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\map\coordinates.css               | PostCSS    |         61 |          3 |         11 |         75 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\map\map-core.css                  | PostCSS    |         31 |          3 |          7 |         41 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\movement\movement-markers.css     | PostCSS    |        171 |         21 |         31 |        223 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\ui\badges.css                     | PostCSS    |        104 |          8 |         23 |        135 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\ui\controls.css                   | PostCSS    |        105 |         16 |         19 |        140 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\ui\modals.css                     | PostCSS    |        301 |          8 |         50 |        359 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\ui\popups.css                     | PostCSS    |        340 |         10 |         64 |        414 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\layout\grid.css                              | PostCSS    |         72 |          2 |         12 |         86 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\layout\responsive.css                        | PostCSS    |        106 |          6 |         26 |        138 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\styles.css                                   | PostCSS    |         20 |          7 |          6 |         33 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\themes\dark.css                              | PostCSS    |          0 |          4 |          3 |          7 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\themes\light.css                             | PostCSS    |          0 |          4 |          3 |          7 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\data\characters.json                             | JSON       |        722 |          0 |          0 |        722 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\data\media-library.json                          | JSON       |        120 |          0 |          1 |        121 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\data\places.geojson                              | JSON       |        990 |          0 |          0 |        990 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\data\reviews.json                                | JSON       |      2,619 |          0 |          0 |      2,619 |
